iter	Passed	Remaining
0	46	46326
1	47	23546
2	47	15868
3	48	12025
4	48	9721
5	49	8188
6	49	7088
7	51	6344
8	51	5701
9	52	5181
10	52	4759
11	53	4405
12	54	4104
13	54	3847
14	55	3623
15	55	3428
16	56	3258
17	56	3105
18	57	2950
19	58	2863
20	58	2736
21	58	2620
22	59	2515
23	59	2420
24	59	2330
25	60	2249
26	60	2172
27	60	2102
28	60	2035
29	61	1973
30	61	1915
31	61	1863
32	61	1812
33	62	1764
34	62	1719
35	62	1676
36	62	1635
37	63	1597
38	63	1561
39	63	1526
40	63	1493
41	64	1473
42	64	1443
43	65	1414
44	65	1386
45	65	1360
46	65	1334
47	66	1311
48	66	1288
49	66	1265
50	66	1244
51	67	1224
52	67	1204
53	67	1186
54	68	1173
55	68	1159
56	69	1145
57	69	1128
58	69	1112
59	70	1097
60	70	1081
61	70	1066
62	71	1058
63	71	1044
64	71	1031
65	71	1018
66	72	1005
67	72	993
68	72	981
69	72	969
70	73	957
71	73	946
72	73	935
73	73	924
74	74	914
75	74	904
76	74	894
77	74	885
78	75	876
79	75	867
80	75	858
81	75	850
82	76	840
83	76	832
84	76	823
85	76	816
86	77	808
87	77	805
88	77	798
89	78	790
90	78	783
91	78	776
92	78	769
93	79	762
94	79	755
95	79	749
96	79	742
97	80	736
98	80	730
99	80	724
100	80	718
101	80	712
102	81	707
103	81	701
104	81	696
105	81	690
106	82	685
107	82	680
108	82	675
109	82	671
110	84	676
111	84	672
112	85	667
113	85	663
114	85	658
115	85	653
116	85	648
117	86	643
118	86	639
119	86	635
120	86	630
121	86	625
122	87	621
123	87	617
124	87	613
125	87	609
126	88	605
127	88	601
128	88	598
129	88	594
130	89	590
131	89	587
132	89	583
133	89	580
134	90	576
135	90	573
136	90	572
137	91	569
138	91	566
139	91	563
140	92	561
141	92	557
142	92	554
143	92	551
144	92	548
145	93	544
146	93	541
147	93	538
148	93	535
149	94	533
150	94	530
151	94	527
152	94	524
153	94	521
154	95	519
155	95	516
156	95	513
157	95	511
158	96	508
159	96	505
160	96	502
161	98	507
162	98	505
163	99	507
164	99	505
165	100	502
166	100	500
167	100	498
168	100	495
169	101	493
170	101	490
171	101	488
172	101	486
173	101	483
174	102	481
175	102	479
176	102	476
177	102	474
178	103	472
179	103	470
180	103	469
181	104	467
182	104	465
183	105	466
184	105	463
185	105	461
186	105	459
187	106	457
188	106	456
189	106	454
190	106	452
191	107	450
192	107	448
193	107	446
194	107	444
195	107	442
196	108	440
197	108	439
198	108	437
199	108	435
200	109	433
201	109	431
202	109	429
203	109	428
204	109	426
205	110	426
206	110	424
207	111	422
208	111	421
209	111	419
210	111	417
211	112	416
212	112	414
213	112	413
214	112	411
215	113	410
216	113	408
217	113	407
218	113	405
219	114	407
220	115	405
221	115	404
222	115	403
223	116	402
224	116	400
225	116	399
226	117	399
227	117	397
228	117	396
229	117	394
230	118	393
231	118	391
232	118	390
233	118	389
234	119	387
235	119	386
236	119	384
237	119	383
238	120	382
239	120	380
240	120	379
241	120	378
242	121	377
243	121	375
244	121	374
245	121	373
246	121	371
247	122	370
248	122	369
249	122	368
250	122	366
251	123	365
252	123	365
253	124	364
254	124	363
255	124	362
256	124	360
257	125	359
258	125	358
259	125	357
260	125	356
261	126	355
262	126	353
263	126	352
264	126	351
265	126	350
266	127	349
267	127	348
268	127	347
269	127	346
270	128	344
271	128	343
272	128	342
273	128	341
274	129	340
275	129	339
276	129	338
277	130	338
278	130	337
279	130	336
280	131	335
281	131	334
282	131	333
283	131	332
284	132	331
285	132	330
286	132	329
287	132	328
288	132	326
289	133	325
290	133	324
291	133	323
292	133	322
293	133	321
294	134	320
295	134	319
296	134	318
297	136	320
298	136	320
299	136	319
300	138	320
301	138	319
302	138	319
303	138	318
304	139	317
305	139	316
306	139	315
307	139	314
308	140	313
309	140	312
310	140	311
311	140	310
312	140	309
313	141	308
314	141	307
315	141	306
316	141	305
317	142	305
318	142	304
319	142	303
320	142	302
321	143	301
322	143	301
323	143	300
324	144	299
325	144	298
326	145	299
327	145	298
328	146	298
329	146	297
330	146	296
331	146	295
332	147	294
333	147	293
334	147	292
335	147	292
336	147	291
337	148	290
338	148	289
339	148	288
340	148	287
341	149	286
342	149	285
343	149	285
344	149	284
345	150	283
346	150	283
347	150	282
348	150	281
349	151	280
350	151	279
351	151	279
352	151	278
353	152	277
354	152	276
355	154	278
356	154	279
357	155	279
358	156	278
359	156	278
360	157	278
361	157	277
362	157	276
363	157	275
364	158	275
365	158	274
366	159	275
367	159	274
368	160	273
369	161	274
370	161	273
371	161	273
372	162	272
373	162	271
374	162	270
375	162	270
376	163	269
377	163	268
378	163	267
379	163	267
380	164	266
381	164	265
382	164	264
383	164	264
384	164	263
385	165	262
386	165	262
387	165	261
388	165	260
389	166	259
390	166	259
391	166	258
392	166	257
393	167	257
394	167	256
395	167	255
396	167	254
397	169	255
398	169	255
399	169	254
400	170	253
401	170	253
402	170	252
403	170	251
404	170	251
405	171	250
406	171	249
407	171	249
408	171	248
409	172	247
410	172	246
411	172	246
412	173	246
413	173	245
414	173	244
415	173	244
416	174	243
417	174	242
418	174	242
419	174	241
420	175	240
421	175	240
422	175	239
423	175	238
424	177	239
425	177	238
426	177	238
427	177	237
428	178	236
429	178	236
430	178	235
431	178	234
432	178	234
433	179	233
434	179	232
435	179	232
436	179	231
437	180	231
438	180	230
439	180	229
440	180	229
441	181	228
442	181	227
443	181	227
444	181	226
445	182	226
446	182	225
447	182	224
448	183	224
449	183	224
450	184	224
451	185	224
452	185	223
453	185	223
454	185	222
455	186	221
456	186	221
457	186	220
458	186	220
459	186	219
460	187	218
461	187	218
462	187	217
463	189	218
464	189	217
465	189	217
466	189	216
467	190	216
468	190	215
469	190	215
470	191	214
471	191	213
472	191	213
473	194	215
474	194	215
475	195	214
476	195	214
477	195	213
478	195	213
479	196	212
480	196	211
481	196	211
482	196	210
483	197	210
484	197	209
485	197	209
486	197	208
487	198	208
488	198	207
489	198	206
490	199	206
491	199	205
492	199	205
493	199	204
494	199	203
495	200	203
496	200	203
497	200	202
498	201	201
499	201	201
500	201	200
501	201	200
502	202	199
503	202	199
504	202	198
505	202	197
506	203	197
507	203	196
508	203	196
509	203	195
510	203	195
511	204	194
512	204	194
513	205	193
514	205	193
515	205	192
516	205	192
517	206	191
518	206	191
519	206	190
520	207	190
521	207	190
522	207	189
523	208	189
524	208	188
525	208	188
526	208	187
527	209	186
528	209	186
529	209	185
530	209	185
531	210	184
532	210	184
533	210	183
534	210	183
535	211	182
536	211	182
537	211	181
538	211	181
539	211	180
540	212	180
541	212	179
542	212	179
543	212	178
544	213	178
545	213	177
546	213	177
547	213	176
548	214	175
549	215	176
550	215	175
551	215	175
552	216	174
553	216	174
554	216	173
555	216	173
556	217	172
557	217	172
558	217	171
559	217	171
560	218	170
561	218	170
562	218	169
563	218	169
564	219	168
565	219	168
566	219	167
567	219	167
568	220	166
569	220	166
570	220	165
571	220	165
572	221	164
573	221	164
574	221	163
575	221	163
576	222	163
577	222	162
578	222	162
579	223	161
580	223	161
581	223	160
582	224	160
